Device,Test Name,Advisory Result,Advisory Result Messages,Vulnerability Result,Vulnerability Result Messages,Vulnerability Remediation,Advisory Remediation,Advisory ID,Advisory Title,Advisory Severity,Advisory URL,Advisory Description,Vulnerability ID,Vulnerability Description,Vulnerability Severity
eos1,VerifySA147,affected,"CVE-2026-59995: SFTP client issue when connecting to an untrusted server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SFTP use with an untrusted server cannot be determined.
CVE-2026-59996: SCP remote-to-remote client issue involving an untrusted server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SCP remote-to-remote use with an untrusted server cannot be determined.
CVE-2026-60001: OpenSSH server issue affecting accepted SSH connections. - The device is affected because openssh-server '8.7p1' is affected and SSH accepts connections.
CVE-2026-60002: SSH client issue when connecting to a malicious or compromised server. - The device is affected but mitigated because openssh-clients '8.7p1' uses strict host-key checking.",inconclusive,"The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SFTP use with an untrusted server cannot be determined.","Upgrade to a remediated release when one is published. Refer to the advisory to determine whether the unresolved condition applies, for newly remediated releases, and for current mitigation guidance.","Upgrade to a remediated release when one is published. Refer to the advisory to determine whether the unresolved condition applies, for newly remediated releases, and for current mitigation guidance.
Upgrade to a remediated release when one is published. Refer to the advisory for newly remediated releases and current mitigation guidance.
Upgrade to EOS 4.35.6M or later in the 4.35 train or EOS 4.34.8M or later in the 4.34 train. Refer to the advisory for newly remediated releases and current mitigation guidance.",SA0147,Security Advisory 0147,critical,https://www.arista.com/en/support/advisories-notices/security-advisory/24515-security-advisory-0147,"Multiple vulnerabilities have been discovered in OpenSSH before version 10.4, which is shipped with multiple Arista products. One vulnerability (CVE-2026-60001) affects the server-side SSH daemon (sshd). The remaining three vulnerabilities (CVE-2026-60002, CVE-2026-59995, CVE-2026-59996) affect the client-side SSH, Secure File Transfer Protocol (SFTP), and Secure Copy Protocol (SCP) utilities, respectively.",CVE-2026-59995,CVE-2026-59995: SFTP client issue when connecting to an untrusted server.,medium
eos1,VerifySA147,affected,"CVE-2026-59995: SFTP client issue when connecting to an untrusted server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SFTP use with an untrusted server cannot be determined.
CVE-2026-59996: SCP remote-to-remote client issue involving an untrusted server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SCP remote-to-remote use with an untrusted server cannot be determined.
CVE-2026-60001: OpenSSH server issue affecting accepted SSH connections. - The device is affected because openssh-server '8.7p1' is affected and SSH accepts connections.
CVE-2026-60002: SSH client issue when connecting to a malicious or compromised server. - The device is affected but mitigated because openssh-clients '8.7p1' uses strict host-key checking.",inconclusive,"The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SCP remote-to-remote use with an untrusted server cannot be determined.","Upgrade to a remediated release when one is published. Refer to the advisory to determine whether the unresolved condition applies, for newly remediated releases, and for current mitigation guidance.","Upgrade to a remediated release when one is published. Refer to the advisory to determine whether the unresolved condition applies, for newly remediated releases, and for current mitigation guidance.
Upgrade to a remediated release when one is published. Refer to the advisory for newly remediated releases and current mitigation guidance.
Upgrade to EOS 4.35.6M or later in the 4.35 train or EOS 4.34.8M or later in the 4.34 train. Refer to the advisory for newly remediated releases and current mitigation guidance.",SA0147,Security Advisory 0147,critical,https://www.arista.com/en/support/advisories-notices/security-advisory/24515-security-advisory-0147,"Multiple vulnerabilities have been discovered in OpenSSH before version 10.4, which is shipped with multiple Arista products. One vulnerability (CVE-2026-60001) affects the server-side SSH daemon (sshd). The remaining three vulnerabilities (CVE-2026-60002, CVE-2026-59995, CVE-2026-59996) affect the client-side SSH, Secure File Transfer Protocol (SFTP), and Secure Copy Protocol (SCP) utilities, respectively.",CVE-2026-59996,CVE-2026-59996: SCP remote-to-remote client issue involving an untrusted server.,medium
eos1,VerifySA147,affected,"CVE-2026-59995: SFTP client issue when connecting to an untrusted server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SFTP use with an untrusted server cannot be determined.
CVE-2026-59996: SCP remote-to-remote client issue involving an untrusted server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SCP remote-to-remote use with an untrusted server cannot be determined.
CVE-2026-60001: OpenSSH server issue affecting accepted SSH connections. - The device is affected because openssh-server '8.7p1' is affected and SSH accepts connections.
CVE-2026-60002: SSH client issue when connecting to a malicious or compromised server. - The device is affected but mitigated because openssh-clients '8.7p1' uses strict host-key checking.",affected,The device is affected because openssh-server '8.7p1' is affected and SSH accepts connections.,Upgrade to a remediated release when one is published. Refer to the advisory for newly remediated releases and current mitigation guidance.,"Upgrade to a remediated release when one is published. Refer to the advisory to determine whether the unresolved condition applies, for newly remediated releases, and for current mitigation guidance.
Upgrade to a remediated release when one is published. Refer to the advisory for newly remediated releases and current mitigation guidance.
Upgrade to EOS 4.35.6M or later in the 4.35 train or EOS 4.34.8M or later in the 4.34 train. Refer to the advisory for newly remediated releases and current mitigation guidance.",SA0147,Security Advisory 0147,critical,https://www.arista.com/en/support/advisories-notices/security-advisory/24515-security-advisory-0147,"Multiple vulnerabilities have been discovered in OpenSSH before version 10.4, which is shipped with multiple Arista products. One vulnerability (CVE-2026-60001) affects the server-side SSH daemon (sshd). The remaining three vulnerabilities (CVE-2026-60002, CVE-2026-59995, CVE-2026-59996) affect the client-side SSH, Secure File Transfer Protocol (SFTP), and Secure Copy Protocol (SCP) utilities, respectively.",CVE-2026-60001,CVE-2026-60001: OpenSSH server issue affecting accepted SSH connections.,medium
eos1,VerifySA147,affected,"CVE-2026-59995: SFTP client issue when connecting to an untrusted server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SFTP use with an untrusted server cannot be determined.
CVE-2026-59996: SCP remote-to-remote client issue involving an untrusted server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SCP remote-to-remote use with an untrusted server cannot be determined.
CVE-2026-60001: OpenSSH server issue affecting accepted SSH connections. - The device is affected because openssh-server '8.7p1' is affected and SSH accepts connections.
CVE-2026-60002: SSH client issue when connecting to a malicious or compromised server. - The device is affected but mitigated because openssh-clients '8.7p1' uses strict host-key checking.",inconclusive,The device is affected but mitigated because openssh-clients '8.7p1' uses strict host-key checking.,Upgrade to EOS 4.35.6M or later in the 4.35 train or EOS 4.34.8M or later in the 4.34 train. Refer to the advisory for newly remediated releases and current mitigation guidance.,"Upgrade to a remediated release when one is published. Refer to the advisory to determine whether the unresolved condition applies, for newly remediated releases, and for current mitigation guidance.
Upgrade to a remediated release when one is published. Refer to the advisory for newly remediated releases and current mitigation guidance.
Upgrade to EOS 4.35.6M or later in the 4.35 train or EOS 4.34.8M or later in the 4.34 train. Refer to the advisory for newly remediated releases and current mitigation guidance.",SA0147,Security Advisory 0147,critical,https://www.arista.com/en/support/advisories-notices/security-advisory/24515-security-advisory-0147,"Multiple vulnerabilities have been discovered in OpenSSH before version 10.4, which is shipped with multiple Arista products. One vulnerability (CVE-2026-60001) affects the server-side SSH daemon (sshd). The remaining three vulnerabilities (CVE-2026-60002, CVE-2026-59995, CVE-2026-59996) affect the client-side SSH, Secure File Transfer Protocol (SFTP), and Secure Copy Protocol (SCP) utilities, respectively.",CVE-2026-60002,CVE-2026-60002: SSH client issue when connecting to a malicious or compromised server.,critical
eos2,VerifySA147,affected,"CVE-2026-59995: SFTP client issue when connecting to an untrusted server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SFTP use with an untrusted server cannot be determined.
CVE-2026-59996: SCP remote-to-remote client issue involving an untrusted server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SCP remote-to-remote use with an untrusted server cannot be determined.
CVE-2026-60001: OpenSSH server issue affecting accepted SSH connections. - The device is affected because openssh-server '8.7p1' is affected and SSH accepts connections.
CVE-2026-60002: SSH client issue when connecting to a malicious or compromised server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SSH use with a malicious or compromised server cannot be determined.",inconclusive,"The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SFTP use with an untrusted server cannot be determined.","Upgrade to a remediated release when one is published. Refer to the advisory to determine whether the unresolved condition applies, for newly remediated releases, and for current mitigation guidance.","Upgrade to a remediated release when one is published. Refer to the advisory to determine whether the unresolved condition applies, for newly remediated releases, and for current mitigation guidance.
Upgrade to a remediated release when one is published. Refer to the advisory for newly remediated releases and current mitigation guidance.
Upgrade to EOS 4.35.6M or later in the 4.35 train or EOS 4.34.8M or later in the 4.34 train. Refer to the advisory to determine whether the unresolved condition applies, for newly remediated releases, and for current mitigation guidance.",SA0147,Security Advisory 0147,critical,https://www.arista.com/en/support/advisories-notices/security-advisory/24515-security-advisory-0147,"Multiple vulnerabilities have been discovered in OpenSSH before version 10.4, which is shipped with multiple Arista products. One vulnerability (CVE-2026-60001) affects the server-side SSH daemon (sshd). The remaining three vulnerabilities (CVE-2026-60002, CVE-2026-59995, CVE-2026-59996) affect the client-side SSH, Secure File Transfer Protocol (SFTP), and Secure Copy Protocol (SCP) utilities, respectively.",CVE-2026-59995,CVE-2026-59995: SFTP client issue when connecting to an untrusted server.,medium
eos2,VerifySA147,affected,"CVE-2026-59995: SFTP client issue when connecting to an untrusted server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SFTP use with an untrusted server cannot be determined.
CVE-2026-59996: SCP remote-to-remote client issue involving an untrusted server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SCP remote-to-remote use with an untrusted server cannot be determined.
CVE-2026-60001: OpenSSH server issue affecting accepted SSH connections. - The device is affected because openssh-server '8.7p1' is affected and SSH accepts connections.
CVE-2026-60002: SSH client issue when connecting to a malicious or compromised server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SSH use with a malicious or compromised server cannot be determined.",inconclusive,"The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SCP remote-to-remote use with an untrusted server cannot be determined.","Upgrade to a remediated release when one is published. Refer to the advisory to determine whether the unresolved condition applies, for newly remediated releases, and for current mitigation guidance.","Upgrade to a remediated release when one is published. Refer to the advisory to determine whether the unresolved condition applies, for newly remediated releases, and for current mitigation guidance.
Upgrade to a remediated release when one is published. Refer to the advisory for newly remediated releases and current mitigation guidance.
Upgrade to EOS 4.35.6M or later in the 4.35 train or EOS 4.34.8M or later in the 4.34 train. Refer to the advisory to determine whether the unresolved condition applies, for newly remediated releases, and for current mitigation guidance.",SA0147,Security Advisory 0147,critical,https://www.arista.com/en/support/advisories-notices/security-advisory/24515-security-advisory-0147,"Multiple vulnerabilities have been discovered in OpenSSH before version 10.4, which is shipped with multiple Arista products. One vulnerability (CVE-2026-60001) affects the server-side SSH daemon (sshd). The remaining three vulnerabilities (CVE-2026-60002, CVE-2026-59995, CVE-2026-59996) affect the client-side SSH, Secure File Transfer Protocol (SFTP), and Secure Copy Protocol (SCP) utilities, respectively.",CVE-2026-59996,CVE-2026-59996: SCP remote-to-remote client issue involving an untrusted server.,medium
eos2,VerifySA147,affected,"CVE-2026-59995: SFTP client issue when connecting to an untrusted server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SFTP use with an untrusted server cannot be determined.
CVE-2026-59996: SCP remote-to-remote client issue involving an untrusted server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SCP remote-to-remote use with an untrusted server cannot be determined.
CVE-2026-60001: OpenSSH server issue affecting accepted SSH connections. - The device is affected because openssh-server '8.7p1' is affected and SSH accepts connections.
CVE-2026-60002: SSH client issue when connecting to a malicious or compromised server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SSH use with a malicious or compromised server cannot be determined.",affected,The device is affected because openssh-server '8.7p1' is affected and SSH accepts connections.,Upgrade to a remediated release when one is published. Refer to the advisory for newly remediated releases and current mitigation guidance.,"Upgrade to a remediated release when one is published. Refer to the advisory to determine whether the unresolved condition applies, for newly remediated releases, and for current mitigation guidance.
Upgrade to a remediated release when one is published. Refer to the advisory for newly remediated releases and current mitigation guidance.
Upgrade to EOS 4.35.6M or later in the 4.35 train or EOS 4.34.8M or later in the 4.34 train. Refer to the advisory to determine whether the unresolved condition applies, for newly remediated releases, and for current mitigation guidance.",SA0147,Security Advisory 0147,critical,https://www.arista.com/en/support/advisories-notices/security-advisory/24515-security-advisory-0147,"Multiple vulnerabilities have been discovered in OpenSSH before version 10.4, which is shipped with multiple Arista products. One vulnerability (CVE-2026-60001) affects the server-side SSH daemon (sshd). The remaining three vulnerabilities (CVE-2026-60002, CVE-2026-59995, CVE-2026-59996) affect the client-side SSH, Secure File Transfer Protocol (SFTP), and Secure Copy Protocol (SCP) utilities, respectively.",CVE-2026-60001,CVE-2026-60001: OpenSSH server issue affecting accepted SSH connections.,medium
eos2,VerifySA147,affected,"CVE-2026-59995: SFTP client issue when connecting to an untrusted server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SFTP use with an untrusted server cannot be determined.
CVE-2026-59996: SCP remote-to-remote client issue involving an untrusted server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SCP remote-to-remote use with an untrusted server cannot be determined.
CVE-2026-60001: OpenSSH server issue affecting accepted SSH connections. - The device is affected because openssh-server '8.7p1' is affected and SSH accepts connections.
CVE-2026-60002: SSH client issue when connecting to a malicious or compromised server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SSH use with a malicious or compromised server cannot be determined.",inconclusive,"The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SSH use with a malicious or compromised server cannot be determined.","Upgrade to EOS 4.35.6M or later in the 4.35 train or EOS 4.34.8M or later in the 4.34 train. Refer to the advisory to determine whether the unresolved condition applies, for newly remediated releases, and for current mitigation guidance.","Upgrade to a remediated release when one is published. Refer to the advisory to determine whether the unresolved condition applies, for newly remediated releases, and for current mitigation guidance.
Upgrade to a remediated release when one is published. Refer to the advisory for newly remediated releases and current mitigation guidance.
Upgrade to EOS 4.35.6M or later in the 4.35 train or EOS 4.34.8M or later in the 4.34 train. Refer to the advisory to determine whether the unresolved condition applies, for newly remediated releases, and for current mitigation guidance.",SA0147,Security Advisory 0147,critical,https://www.arista.com/en/support/advisories-notices/security-advisory/24515-security-advisory-0147,"Multiple vulnerabilities have been discovered in OpenSSH before version 10.4, which is shipped with multiple Arista products. One vulnerability (CVE-2026-60001) affects the server-side SSH daemon (sshd). The remaining three vulnerabilities (CVE-2026-60002, CVE-2026-59995, CVE-2026-59996) affect the client-side SSH, Secure File Transfer Protocol (SFTP), and Secure Copy Protocol (SCP) utilities, respectively.",CVE-2026-60002,CVE-2026-60002: SSH client issue when connecting to a malicious or compromised server.,critical
eos3,VerifySA147,affected,"CVE-2026-59995: SFTP client issue when connecting to an untrusted server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SFTP use with an untrusted server cannot be determined.
CVE-2026-59996: SCP remote-to-remote client issue involving an untrusted server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SCP remote-to-remote use with an untrusted server cannot be determined.
CVE-2026-60001: OpenSSH server issue affecting accepted SSH connections. - The device is affected because openssh-server '8.7p1' is affected and SSH accepts connections.
CVE-2026-60002: SSH client issue when connecting to a malicious or compromised server. - The device is affected but mitigated because openssh-clients '8.7p1' uses strict host-key checking.",inconclusive,"The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SFTP use with an untrusted server cannot be determined.","Upgrade to a remediated release when one is published. Refer to the advisory to determine whether the unresolved condition applies, for newly remediated releases, and for current mitigation guidance.","Upgrade to a remediated release when one is published. Refer to the advisory to determine whether the unresolved condition applies, for newly remediated releases, and for current mitigation guidance.
Upgrade to a remediated release when one is published. Refer to the advisory for newly remediated releases and current mitigation guidance.
Upgrade to EOS 4.35.6M or later in the 4.35 train or EOS 4.34.8M or later in the 4.34 train. Refer to the advisory for newly remediated releases and current mitigation guidance.",SA0147,Security Advisory 0147,critical,https://www.arista.com/en/support/advisories-notices/security-advisory/24515-security-advisory-0147,"Multiple vulnerabilities have been discovered in OpenSSH before version 10.4, which is shipped with multiple Arista products. One vulnerability (CVE-2026-60001) affects the server-side SSH daemon (sshd). The remaining three vulnerabilities (CVE-2026-60002, CVE-2026-59995, CVE-2026-59996) affect the client-side SSH, Secure File Transfer Protocol (SFTP), and Secure Copy Protocol (SCP) utilities, respectively.",CVE-2026-59995,CVE-2026-59995: SFTP client issue when connecting to an untrusted server.,medium
eos3,VerifySA147,affected,"CVE-2026-59995: SFTP client issue when connecting to an untrusted server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SFTP use with an untrusted server cannot be determined.
CVE-2026-59996: SCP remote-to-remote client issue involving an untrusted server. - The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SCP remote-to-remote use with an untrusted server cannot be determined.
CVE-2026-60001: OpenSSH server issue affecting accepted SSH connections. - The device is affected because openssh-server '8.7p1' is affected and SSH accepts connections.
CVE-2026-60002: SSH client issue when connecting to a malicious or compromised server. - The device is affected but mitigated because openssh-clients '8.7p1' uses strict host-key checking.",inconclusive,"The assessment is inconclusive and the device may be affected because openssh-clients '8.7p1' is affected, but operator-initiated SCP remote-to-remote use with an untrusted server cannot be determined.","Upgrade to a remediated release when one is published. Refer to the advisory to determine whether the unresolved condition applies, for newly remediated releases, and for current mitigation guidance.","Upgrade to a remediated release when one is published. Refer to the advisory to determine whether the unresolved condition applies, for newly remediated releases, and for current mitigation guidance.
Upgrade to a remediated release when one is published. Refer to the advisory for newly remediated releases and current mitigation guidance.
Upgrade to EOS 4.35.6M or later in the 4.35 train or EOS 4.34.8M or later in the 4.34 train. Refer to the advisory for newly remediated releases and current mitigation guidance.",SA0147,Security Advisory 0147,critical,https://www.arista.com/en/support/advisories-notices/security-advisory/24515-security-advisory-0147,"Multiple vulnerabilities have been discovered in OpenSSH before version 10.4, which is shipped with multiple Arista products. One vulnerability (CVE-2026-60001) affects the server-side SSH daemon (sshd). The remaining three vulnerabilities (CVE-2026-60002, CVE-2026-59995, CVE-2026-59996) affect the client-side SSH, Secure File Transfer Protocol (SFTP), and Secure Copy Protocol (SCP) utilities, respectively.",CVE-2026-59996,CVE-2026-59996: SCP remote-to-remote client issue involving an untrusted server.,medium
